Wavelength (micron)  Noise (photon/spectral_pixel)
      0.96453178       188.31998
      0.96464038       190.28732
      0.96474898       192.23778
      0.96485758       194.17476
      0.96496618       196.09895
      0.96507478       198.00547
      0.96518338       199.89095
      0.96529198       201.75513
      0.96540058       203.59797
      0.96550918       205.41956
      0.96561778       207.22000
      0.96572638       208.99867
      0.96583498       210.75457
      0.96594357       212.48697
      0.96605217       214.19562
      0.96616077       215.87924
      0.96626937       217.53599
      0.96637797       219.16607
      0.96648657       220.77223
      0.96659517       222.35618
      0.96670377       223.91506
      0.96681237       225.44603
      0.96692097       226.94807
      0.96702957       228.42057
      0.96713817       229.86239
      0.96724677       231.27400
      0.96735537       232.65954
      0.96746397       234.01920
      0.96757257       235.34814
      0.96768117       236.64434
      0.96778977       237.90855
      0.96789837       239.14102
      0.96800697       240.34090
      0.96811557       241.50623
      0.96822417       242.63668
      0.96833277       243.73711
      0.96844137       244.81014
      0.96854997       245.85071
      0.96865857       246.85467
      0.96876717       247.82217
      0.96887577       248.75436
      0.96898437       249.65154
      0.96909297       250.51292
      0.96920156       251.33763
      0.96931016       252.12514
      0.96941876       252.87555
      0.96952736       253.58952
      0.96963596       254.26637
      0.96974456       254.90491
      0.96985316       255.50465
      0.96996176       256.06452
      0.97007036       256.58367
      0.97017896       257.06134
      0.97028756       257.49659
      0.97039616       257.89228
      0.97050476       258.25188
      0.97061336       258.57077
      0.97072196       258.84310
      0.97083056       259.06852
      0.97093916       259.24733
      0.97104776       259.37859
      0.97115636       259.46296
      0.97126496       259.50120
      0.97137356       259.49082
      0.97148216       259.42870
      0.97159076       259.31239
      0.97169936       259.14090
      0.97180796       258.91982
      0.97191656       258.65329
      0.97202516       258.33425
      0.97213376       257.95621
      0.97224236       257.51916
      0.97235096       257.02311
      0.97245955       256.46629
      0.97256815       255.84963
      0.97267675       255.17787
      0.97278535       254.46072
      0.97289395       253.75890
      0.97300255       253.25705
      0.97311115       252.95896
      0.97321975       252.16295
      0.97332835       251.27584
      0.97343695       255.45653
      0.97354555       271.35737
      0.97365415       298.24747
      0.97376275       331.67926
      0.97387135       369.28309
      0.97397995       401.11601
      0.97408855       408.84891
      0.97419715       383.04082
      0.97430575       335.73484
      0.97441435       295.94737
      0.97452295       287.10959
      0.97463155       306.12415
      0.97474015       336.00105
      0.97484875       376.30198
      0.97495735       446.99460
      0.97506595       527.31706
      0.97517455       546.43101
      0.97528315       476.55713
      0.97539175       375.90845
      0.97550035       314.05911
      0.97560894       290.15954
      0.97571754       280.16518
      0.97582614       279.48620
      0.97593474       296.12653
      0.97604334       372.18051
      0.97615194       602.68460
      0.97626054       991.44961
      0.97636914       1356.7214
      0.97647774       1459.5168
      0.97658634       1217.3881
      0.97669494       796.88714
      0.97680354       463.07381
      0.97691214       344.08219
      0.97702074       341.60858
      0.97712934       355.78855
      0.97723794       361.05003
      0.97734654       353.14790
      0.97745514       338.67187
      0.97756374       330.71315
      0.97767234       337.00731
      0.97778094       352.13007
      0.97788954       362.35129
      0.97799814       358.20505
      0.97810674       343.17069
      0.97821534       327.74725
      0.97832394       315.72348
      0.97843254       305.13396
      0.97854114       298.90675
      0.97864974       302.19976
      0.97875834       317.27706
      0.97886693       359.75470
      0.97897553       470.48583
      0.97908413       666.66320
      0.97919273       896.01143
      0.97930133       1066.0630
      0.97940993       1099.8888
      0.97951853       980.24988
      0.97962713       762.49366
      0.97973573       553.10211
      0.97984433       457.40779
      0.97995293       492.33182
      0.98006153       584.62727
      0.98017013       660.79788
      0.98027873       671.57816
      0.98038733       605.55960
      0.98049593       495.09847
      0.98060453       398.04064
      0.98071313       356.52700
      0.98082173       364.68579
      0.98093033       392.27574
      0.98103893       418.58677
      0.98114753       438.82704
      0.98125613       456.69669
      0.98136473       472.60466
      0.98147333       476.16898
      0.98158193       456.71787
      0.98169053       424.42859
      0.98179913       405.63299
      0.98190773       406.81861
      0.98201632       408.62141
      0.98212492       399.21188
      0.98223352       384.57907
      0.98234212       372.93269
      0.98245072       364.26222
      0.98255932       356.08608
      0.98266792       351.28543
      0.98277652       356.88024
      0.98288518       374.42648
      0.98299378       392.79398
      0.98310238       397.24522
      0.98321098       384.37701
      0.98331958       364.75238
      0.98342818       351.40032
      0.98353678       347.24196
      0.98364538       345.70316
      0.98375398       339.15342
      0.98386258       326.95495
      0.98397118       315.61650
      0.98407978       308.37037
      0.98418838       303.72462
      0.98429698       301.79518
      0.98440558       302.75388
      0.98451418       306.63541
      0.98462278       319.60303
      0.98473138       359.52618
      0.98483998       443.44859
      0.98494858       553.16008
      0.98505718       638.59380
      0.98516577       658.96995
      0.98527437       610.96459
      0.98538297       529.05827
      0.98549157       458.37129
      0.98560017       415.28449
      0.98570877       386.20399
      0.98581737       361.99837
      0.98592597       344.58608
      0.98603457       334.32566
      0.98614317       329.22346
      0.98625177       327.52923
      0.98636037       328.48990
      0.98646897       337.98787
      0.98657757       385.58944
      0.98668617       504.80640
      0.98679477       639.54207
      0.98690337       682.93311
      0.98701197       618.25692
      0.98712057       581.66842
      0.98722917       710.29622
      0.98733777       914.58826
      0.98744637       1049.2257
      0.98755497       1039.1147
      0.98766357       888.42179
      0.98777217       667.85889
      0.98788077       475.23218
      0.98798937       373.01905
      0.98809797       343.77203
      0.98820657       341.35968
      0.98831517       346.53657
      0.98842376       356.58723
      0.98853236       371.35723
      0.98864096       392.10318
      0.98874956       417.62799
      0.98885816       439.59708
      0.98896676       451.61380
      0.98907536       451.18770
      0.98918396       435.06234
      0.98929256       418.01005
      0.98940116       445.80877
      0.98950976       541.59327
      0.98961836       658.82884
      0.98972696       728.79697
      0.98983556       711.22963
      0.98994416       614.66229
      0.99005276       491.97686
      0.99016136       406.24411
      0.99026996       374.90372
      0.99037856       366.62779
      0.99048716       358.96931
      0.99059576       349.85899
      0.99070436       340.12893
      0.99081296       332.49852
      0.99092156       333.62737
      0.99103016       344.57599
      0.99113876       360.75815
      0.99124736       394.84202
      0.99135596       495.30666
      0.99146456       690.53794
      0.99157315       921.23480
      0.99168175       1082.9829
      0.99179035       1099.1619
      0.99189895       963.95877
      0.99200755       745.18517
      0.99211615       549.49826
      0.99222475       448.00611
      0.99233335       414.56483
      0.99244195       403.00940
      0.99255055       412.49976
      0.99265915       436.95093
      0.99276775       447.57651
      0.99287635       431.29540
      0.99298495       403.14835
      0.99309355       382.85125
      0.99320215       374.59751
      0.99331075       371.26898
      0.99341935       367.69232
      0.99352795       364.31087
      0.99363655       364.27953
      0.99374515       367.76247
      0.99385375       372.04888
      0.99396235       387.42963
      0.99407095       451.52804
      0.99417955       595.27767
      0.99428815       783.40905
      0.99439675       941.66765
      0.99450535       1029.1350
      0.99461395       1078.0436
      0.99472255       1149.8808
      0.99483114       1234.5491
      0.99493974       1254.3241
      0.99504834       1159.7507
      0.99515694       970.84785
      0.99526554       752.17383
      0.99537414       571.17293
      0.99548274       490.97945
      0.99559134       574.94518
      0.99569994       789.57541
      0.99580854       1013.2077
      0.99591714       1134.8063
      0.99602574       1109.9153
      0.99613434       997.09565
